About|Tungkol|Tentang|Giới thiệu|เกี่ยวกับ|Acerca de|Sobre|À propos|Über|О программе
HTTP requests are unavailable on this device.|Hindi magagamit ang mga HTTP request sa device na ito.|Permintaan HTTP tidak tersedia di perangkat ini.|Thiết bị này không hỗ trợ yêu cầu HTTP.|อุปกรณ์นี้ไม่รองรับคำขอ HTTP|Las solicitudes HTTP no están disponibles en este dispositivo.|Solicitações HTTP não estão disponíveis neste dispositivo.|Les requêtes HTTP ne sont pas disponibles sur cet appareil.|HTTP-Anfragen sind auf diesem Gerät nicht verfügbar.|HTTP-запросы недоступны на этом устройстве.
Discord rate limit. Try again later.|Naabot ang limitasyon ng Discord. Subukan ulit mamaya.|Batas permintaan Discord tercapai. Coba lagi nanti.|Đã đạt giới hạn yêu cầu Discord. Hãy thử lại sau.|ถึงขีดจำกัดคำขอของ Discord แล้ว โปรดลองใหม่ภายหลัง|Límite de solicitudes de Discord alcanzado. Inténtalo más tarde.|Limite de solicitações do Discord atingido. Tente novamente mais tarde.|Limite de requêtes Discord atteinte. Réessayez plus tard.|Discord-Anfragelimit erreicht. Versuche es später erneut.|Достигнут лимит запросов Discord. Попробуйте позже.
Report destination unavailable. Please tell Serenity staff.|Hindi maabot ang padadalhan ng ulat. Ipaalam sa Serenity staff.|Tujuan laporan tidak tersedia. Beri tahu staf Serenity.|Không thể gửi báo cáo đến nơi nhận. Hãy báo cho nhân viên Serenity.|ปลายทางรับรายงานไม่พร้อมใช้งาน โปรดแจ้งทีมงาน Serenity|El destino del informe no está disponible. Avisa al equipo de Serenity.|O destino do relatório está indisponível. Avise a equipe Serenity.|La destination du rapport est indisponible. Prévenez l’équipe Serenity.|Das Berichtsziel ist nicht verfügbar. Informiere das Serenity-Team.|Получатель отчётов недоступен. Сообщите команде Serenity.
Serenity’s report server is not connected yet. Your draft is safe.|Hindi pa konektado ang server ng ulat ng Serenity. Nananatili ang iyong draft.|Server laporan Serenity belum terhubung. Draf Anda tetap tersimpan.|Máy chủ báo cáo Serenity chưa được kết nối. Bản nháp của bạn vẫn được giữ lại.|เซิร์ฟเวอร์รายงานของ Serenity ยังไม่ได้เชื่อมต่อ ฉบับร่างของคุณยังอยู่|El servidor de informes de Serenity aún no está conectado. Tu borrador se conserva.|O servidor de relatórios da Serenity ainda não está conectado. Seu rascunho foi preservado.|Le serveur de rapports Serenity n’est pas encore connecté. Votre brouillon est conservé.|Der Serenity-Berichtsserver ist noch nicht verbunden. Dein Entwurf bleibt erhalten.|Сервер отчётов Serenity ещё не подключён. Ваш черновик сохранён.
Right Ctrl hides or shows the hub. Ctrl+K opens search. Escape closes a popup.|Itinatago o ipinapakita ng Right Ctrl ang hub. Binubuksan ng Ctrl+K ang paghahanap. Isinasara ng Escape ang popup.|Right Ctrl menyembunyikan atau menampilkan hub. Ctrl+K membuka pencarian. Escape menutup popup.|Right Ctrl ẩn hoặc hiện hub. Ctrl+K mở tìm kiếm. Escape đóng cửa sổ bật lên.|Right Ctrl ซ่อนหรือแสดงฮับ Ctrl+K เปิดการค้นหา Escape ปิดป๊อปอัป|Right Ctrl oculta o muestra el hub. Ctrl+K abre la búsqueda. Escape cierra una ventana emergente.|Right Ctrl oculta ou mostra o hub. Ctrl+K abre a busca. Escape fecha uma janela pop-up.|Right Ctrl masque ou affiche le hub. Ctrl+K ouvre la recherche. Escape ferme une fenêtre contextuelle.|Right Ctrl blendet den Hub ein oder aus. Ctrl+K öffnet die Suche. Escape schließt ein Popup.|Right Ctrl скрывает или показывает хаб. Ctrl+K открывает поиск. Escape закрывает всплывающее окно.
Rolling|Pag-roll|Roll|Quay|การสุ่ม|Tiradas|Rolagem|Tirage|Würfeln|Броски
Fast Roll|Mabilis na Roll|Roll Cepat|Quay nhanh|สุ่มเร็ว|Tirada rápida|Rolagem rápida|Tirage rapide|Schnelles Würfeln|Быстрый бросок
Roll Delay|Delay ng Roll|Jeda Roll|Độ trễ quay|หน่วงการสุ่ม|Intervalo de tirada|Intervalo de rolagem|Délai de tirage|Würfelverzögerung|Задержка броска
Skip Roll Cutscenes|Laktawan ang Roll Cutscenes|Lewati Cutscene Roll|Bỏ qua cảnh quay|ข้ามคัตซีนการสุ่ม|Omitir cinemáticas de tirada|Pular cenas da rolagem|Ignorer les cinématiques de tirage|Würfel-Zwischensequenzen überspringen|Пропускать сцены броска
Auto Collect Base Money|Awtomatikong Kolekta ng Pera sa Base|Kumpulkan Uang Base Otomatis|Tự động thu tiền ở Base|เก็บเงินฐานอัตโนมัติ|Recoger dinero de la base automáticamente|Coletar dinheiro da base automaticamente|Collecter automatiquement l’argent de la base|Basisgeld automatisch einsammeln|Автосбор денег с базы
Collect Interval|Interval ng Kolekta|Interval Pengambilan|Khoảng thời gian thu|ช่วงเวลาเก็บ|Intervalo de recogida|Intervalo de coleta|Intervalle de collecte|Sammelintervall|Интервал сбора
Auto Sell Guide|Gabay sa Auto Sell|Panduan Auto Sell|Hướng dẫn Auto Sell|คู่มือ Auto Sell|Guía de venta automática|Guia de venda automática|Guide de vente automatique|Auto-Verkauf-Anleitung|Руководство по автопродаже
Auto Sell Status|Katayuan ng Auto Sell|Status Auto Sell|Trạng thái Auto Sell|สถานะ Auto Sell|Estado de venta automática|Status da venda automática|État de la vente automatique|Auto-Verkauf-Status|Статус автопродажи
Rarities to Sell|Mga Rarity na Ibebenta|Rarity untuk Dijual|Độ hiếm cần bán|ระดับความหายากที่จะขาย|Rarezas para vender|Raridades para vender|Raretés à vendre|Zu verkaufende Seltenheiten|Редкости для продажи
Sizes to Sell|Mga Size na Ibebenta|Ukuran untuk Dijual|Kích cỡ cần bán|ขนาดที่จะขาย|Tamaños para vender|Tamanhos para vender|Tailles à vendre|Zu verkaufende Größen|Размеры для продажи
Sell Locked Unit|Ibenta ang Locked Unit|Jual Unit Terkunci|Bán Unit đã khóa|ขายยูนิตที่ล็อก|Vender unidad bloqueada|Vender unidade bloqueada|Vendre une unité verrouillée|Gesperrte Einheit verkaufen|Продавать заблокированные юниты
Sell Maximum /s Unit|Pinakamataas na /s na Ibebenta|Maksimum /s Unit untuk Dijual|Mức /s tối đa để bán|ค่า /s สูงสุดที่จะขาย|Máximo /s de unidad para vender|Máximo /s da unidade para vender|/s maximal d’une unité à vendre|Maximales /s pro Einheit zum Verkauf|Максимум /s юнита для продажи
Auto Buy Upgrades|Awtomatikong Bumili ng Upgrades|Beli Upgrade Otomatis|Tự động mua nâng cấp|ซื้ออัปเกรดอัตโนมัติ|Comprar mejoras automáticamente|Comprar upgrades automaticamente|Acheter les améliorations automatiquement|Upgrades automatisch kaufen|Автопокупка улучшений
Money Reserve|Reserbang Pera|Cadangan Uang|Tiền dự trữ|เงินสำรอง|Reserva de dinero|Reserva de dinheiro|Réserve d’argent|Geldreserve|Резерв денег
Auto Upgrade Units|Awtomatikong I-upgrade ang Units|Upgrade Unit Otomatis|Tự động nâng cấp Unit|อัปเกรดยูนิตอัตโนมัติ|Mejorar unidades automáticamente|Melhorar unidades automaticamente|Améliorer les unités automatiquement|Einheiten automatisch verbessern|Автоулучшение юнитов
Max Rebirth|Pinakamataas na Rebirth|Rebirth Maksimum|Rebirth tối đa|Rebirth สูงสุด|Rebirth máximo|Rebirth máximo|Rebirth maximum|Max. Rebirth|Максимум Rebirth
Units|Mga Unit|Unit|Unit|ยูนิต|Unidades|Unidades|Unités|Einheiten|Юниты
Unit Management|Pamamahala ng Unit|Manajemen Unit|Quản lý Unit|จัดการยูนิต|Gestión de unidades|Gerenciamento de unidades|Gestion des unités|Einheitenverwaltung|Управление юнитами
Auto Fuse|Awtomatikong Fuse|Fuse Otomatis|Tự động Fuse|Fuse อัตโนมัติ|Fusionar automáticamente|Fundir automaticamente|Fusion automatique|Automatisch fusionieren|Автослияние
Fuse Unit 1|Fuse Unit 1|Fuse Unit 1|Fuse Unit 1|Fuse ยูนิต 1|Unidad de fusión 1|Unidade de fusão 1|Unité de fusion 1|Fusionseinheit 1|Юнит для слияния 1
Fuse Unit 2|Fuse Unit 2|Fuse Unit 2|Fuse Unit 2|Fuse ยูนิต 2|Unidad de fusión 2|Unidade de fusão 2|Unité de fusion 2|Fusionseinheit 2|Юнит для слияния 2
Fuse Unit 3|Fuse Unit 3|Fuse Unit 3|Fuse Unit 3|Fuse ยูนิต 3|Unidad de fusión 3|Unidade de fusão 3|Unité de fusion 3|Fusionseinheit 3|Юнит для слияния 3
Max Fuse Cost|Pinakamataas na Gastos sa Fuse|Biaya Fuse Maksimum|Chi phí Fuse tối đa|ค่า Fuse สูงสุด|Coste máximo de fusión|Custo máximo de fusão|Coût maximal de fusion|Maximale Fusionskosten|Макс. стоимость слияния
Traits & Grades|Traits at Grades|Trait & Grade|Trait & Grade|Trait และ Grade|Traits y Grades|Traits e Grades|Traits et Grades|Traits & Grades|Traits и Grades
Traits|Mga Trait|Trait|Trait|Trait|Traits|Traits|Traits|Traits|Traits
Current Trait|Kasalukuyang Trait|Trait Saat Ini|Trait hiện tại|Trait ปัจจุบัน|Trait actual|Trait atual|Trait actuel|Aktueller Trait|Текущий Trait
Unit Slots|Mga Slot ng Unit|Slot Unit|Slot Unit|สล็อตยูนิต|Ranuras de unidad|Slots de unidade|Emplacements d’unité|Einheitenplätze|Слоты юнитов
Target Traits|Target na Traits|Trait Target|Trait mục tiêu|Trait เป้าหมาย|Traits objetivo|Traits alvo|Traits cibles|Ziel-Traits|Целевые Traits
Auto Trait|Awtomatikong Trait|Trait Otomatis|Tự động Trait|Trait อัตโนมัติ|Trait automático|Trait automático|Trait automatique|Auto-Trait|Авто-Trait
Protect Target Traits|Protektahan ang Target Traits|Lindungi Trait Target|Bảo vệ Trait mục tiêu|ป้องกัน Trait เป้าหมาย|Proteger Traits objetivo|Proteger Traits alvo|Protéger les Traits cibles|Ziel-Traits schützen|Защищать целевые Traits
Grades|Mga Grade|Grade|Grade|Grade|Grades|Grades|Grades|Grades|Grades
Current Grade|Kasalukuyang Grade|Grade Saat Ini|Grade hiện tại|Grade ปัจจุบัน|Grade actual|Grade atual|Grade actuel|Aktueller Grade|Текущий Grade
Target Grades|Target na Grades|Grade Target|Grade mục tiêu|Grade เป้าหมาย|Grades objetivo|Grades alvo|Grades cibles|Ziel-Grades|Целевые Grades
Auto Grade|Awtomatikong Grade|Grade Otomatis|Tự động Grade|Grade อัตโนมัติ|Grade automático|Grade automático|Grade automatique|Auto-Grade|Авто-Grade
Protect Target Grades|Protektahan ang Target Grades|Lindungi Grade Target|Bảo vệ Grade mục tiêu|ป้องกัน Grade เป้าหมาย|Proteger Grades objetivo|Proteger Grades alvo|Protéger les Grades cibles|Ziel-Grades schützen|Защищать целевые Grades
Dice, Spins & Boosts|Dice, Spins at Boosts|Dice, Spin & Boost|Dice, Spin & Boost|Dice, Spin และ Boost|Dice, giros y boosts|Dice, giros e boosts|Dice, tours et boosts|Dice, Spins & Boosts|Dice, Spins и Boosts
Dice|Dice|Dice|Dice|Dice|Dice|Dice|Dice|Dice|Dice
Auto Buy Dice|Awtomatikong Bumili ng Dice|Beli Dice Otomatis|Tự động mua Dice|ซื้อ Dice อัตโนมัติ|Comprar Dice automáticamente|Comprar Dice automaticamente|Acheter les Dice automatiquement|Dice automatisch kaufen|Автопокупка Dice
Auto Equip Best Dice|Awtomatikong I-equip ang Pinakamahusay na Dice|Pakai Dice Terbaik Otomatis|Tự động trang bị Dice tốt nhất|ใช้ Dice ที่ดีที่สุดอัตโนมัติ|Equipar el mejor Dice automáticamente|Equipar o melhor Dice automaticamente|Équiper automatiquement le meilleur Dice|Bestes Dice automatisch ausrüsten|Автоэкипировка лучшего Dice
Spins|Mga Spin|Spin|Spin|Spin|Giros|Giros|Tours|Spins|Spins
Auto Use Spins|Awtomatikong Gumamit ng Spins|Gunakan Spin Otomatis|Tự động dùng Spin|ใช้ Spin อัตโนมัติ|Usar giros automáticamente|Usar giros automaticamente|Utiliser les tours automatiquement|Spins automatisch nutzen|Автоиспользование Spins
Spins to Use|Mga Spin na Gagamitin|Spin yang Digunakan|Spin cần dùng|Spin ที่จะใช้|Giros para usar|Giros para usar|Tours à utiliser|Zu verwendende Spins|Spins для использования
Spin Use Interval|Interval ng Paggamit ng Spin|Interval Penggunaan Spin|Khoảng dùng Spin|ช่วงเวลาใช้ Spin|Intervalo de uso de giros|Intervalo de uso de giros|Intervalle d’utilisation des tours|Spin-Nutzungsintervall|Интервал использования Spins
Boosts|Mga Boost|Boost|Boost|Boost|Boosts|Boosts|Boosts|Boosts|Boosts
Auto Use Boosts|Awtomatikong Gumamit ng Boosts|Gunakan Boost Otomatis|Tự động dùng Boost|ใช้ Boost อัตโนมัติ|Usar boosts automáticamente|Usar boosts automaticamente|Utiliser les boosts automatiquement|Boosts automatisch nutzen|Автоиспользование Boosts
Boosts to Use|Mga Boost na Gagamitin|Boost yang Digunakan|Boost cần dùng|Boost ที่จะใช้|Boosts para usar|Boosts para usar|Boosts à utiliser|Zu verwendende Boosts|Boosts для использования
Boost Check Interval|Interval ng Check ng Boost|Interval Cek Boost|Khoảng kiểm tra Boost|ช่วงเวลาตรวจ Boost|Intervalo de comprobación de boosts|Intervalo de verificação de boosts|Intervalle de vérification des boosts|Boost-Prüfintervall|Интервал проверки Boosts
Rewards & Quest Shop|Rewards at Quest Shop|Hadiah & Quest Shop|Phần thưởng & Quest Shop|รางวัลและ Quest Shop|Recompensas y Quest Shop|Recompensas e Quest Shop|Récompenses et Quest Shop|Belohnungen & Quest Shop|Награды и Quest Shop
Auto Claim Quests|Awtomatikong Claim ng Quests|Klaim Quest Otomatis|Tự động nhận Quest|รับ Quest อัตโนมัติ|Reclamar misiones automáticamente|Resgatar missões automaticamente|Récupérer les quêtes automatiquement|Quests automatisch abholen|Автополучение наград за квесты
Auto Claim Daily Reward|Awtomatikong Claim ng Daily Reward|Klaim Hadiah Harian Otomatis|Tự động nhận thưởng hằng ngày|รับรางวัลรายวันอัตโนมัติ|Reclamar recompensa diaria automáticamente|Resgatar recompensa diária automaticamente|Récupérer la récompense quotidienne automatiquement|Tägliche Belohnung automatisch abholen|Автополучение ежедневной награды
Quest Shop|Quest Shop|Quest Shop|Quest Shop|Quest Shop|Tienda de Quest|Loja de Quest|Boutique de quêtes|Quest-Shop|Магазин квестов
Auto Quest Shop|Awtomatikong Quest Shop|Quest Shop Otomatis|Tự động Quest Shop|Quest Shop อัตโนมัติ|Quest Shop automático|Quest Shop automático|Quest Shop automatique|Automatischer Quest-Shop|Авто Quest Shop
Items to Buy|Mga Item na Bibilhin|Item untuk Dibeli|Vật phẩm cần mua|ไอเท็มที่จะซื้อ|Objetos para comprar|Itens para comprar|Objets à acheter|Zu kaufende Gegenstände|Предметы для покупки
Buy Interval|Interval ng Pagbili|Interval Pembelian|Khoảng mua|ช่วงเวลาซื้อ|Intervalo de compra|Intervalo de compra|Intervalle d’achat|Kaufintervall|Интервал покупки
Tower|Tower|Tower|Tower|Tower|Torre|Torre|Tour|Turm|Башня
Tower Status|Katayuan ng Tower|Status Tower|Trạng thái Tower|สถานะ Tower|Estado de la torre|Status da torre|État de la tour|Turmstatus|Статус башни
Run / Floor|Run / Floor|Run / Floor|Lượt / Tầng|รัน / ชั้น|Ejecución / Piso|Execução / Andar|Run / Étage|Run / Etage|Заход / Этаж
Last Reward|Huling Reward|Hadiah Terakhir|Phần thưởng gần nhất|รางวัลล่าสุด|Última recompensa|Última recompensa|Dernière récompense|Letzte Belohnung|Последняя награда
Tower Automation|Awtomasyon ng Tower|Otomatisasi Tower|Tự động hóa Tower|ระบบอัตโนมัติ Tower|Automatización de torre|Automação de torre|Automatisation de la tour|Turm-Automatisierung|Автоматизация башни
Auto Tower|Awtomatikong Tower|Tower Otomatis|Tự động Tower|Tower อัตโนมัติ|Torre automática|Torre automática|Tour automatique|Auto-Turm|Автобашня
Equip Best Tower Team|I-equip ang Pinakamahusay na Tower Team|Pakai Tim Tower Terbaik|Trang bị đội Tower tốt nhất|ใช้ทีม Tower ที่ดีที่สุด|Equipar el mejor equipo de torre|Equipar a melhor equipe da torre|Équiper la meilleure équipe de tour|Bestes Turmteam ausrüsten|Надеть лучшую команду башни
Max Runs|Pinakamataas na Runs|Run Maksimum|Số lượt tối đa|จำนวนรันสูงสุด|Máximo de ejecuciones|Máximo de execuções|Nombre maximal de runs|Maximale Runs|Максимум заходов
Waiting|Naghihintay|Menunggu|Đang chờ|กำลังรอ|Esperando|Aguardando|En attente|Wartet|Ожидание
Idle|Naka-idle|Siaga|Rảnh|ว่าง|Inactivo|Ocioso|Inactif|Leerlauf|Ожидание
Fast rolling, selling and base collection.|Mabilis na roll, benta at kolekta sa base.|Roll cepat, penjualan, dan pengambilan uang base.|Quay nhanh, bán và thu tiền ở Base.|สุ่มเร็ว ขาย และเก็บเงินฐาน|Tiradas rápidas, venta y recogida de la base.|Rolagem rápida, venda e coleta da base.|Tirage rapide, vente et collecte de la base.|Schnelles Würfeln, Verkaufen und Basis-Sammeln.|Быстрые броски, продажа и сбор с базы.
Uses the currently equipped Dice.|Gamit ang kasalukuyang naka-equip na Dice.|Menggunakan Dice yang sedang dipakai.|Dùng Dice đang được trang bị.|ใช้ Dice ที่สวมอยู่ในปัจจุบัน|Usa el Dice equipado actualmente.|Usa o Dice equipado no momento.|Utilise le Dice actuellement équipé.|Verwendet das aktuell ausgerüstete Dice.|Использует текущий экипированный Dice.
0 = fastest validated/server-limited mode. Higher values add an explicit delay.|0 = pinakamabilis na validated/server-limited mode. Mas mataas = may dagdag na delay.|0 = mode tervalidasi tercepat/batas server. Nilai lebih tinggi menambah jeda.|0 = chế độ nhanh nhất đã xác thực/giới hạn server. Giá trị cao hơn thêm độ trễ.|0 = โหมดเร็วสุดที่ตรวจสอบแล้ว/จำกัดโดยเซิร์ฟเวอร์ ค่าสูงขึ้นจะเพิ่มดีเลย์|0 = modo validado más rápido/limitado por servidor. Valores mayores añaden retraso.|0 = modo validado mais rápido/limitado pelo servidor. Valores maiores adicionam atraso.|0 = mode validé le plus rapide/limité par le serveur. Une valeur plus élevée ajoute un délai.|0 = schnellster validierter/serverbegrenzter Modus. Höhere Werte fügen Verzögerung hinzu.|0 = самый быстрый проверенный режим в пределах сервера. Большее значение добавляет задержку.
Enabled = game RollCutscenes setting is OFF.|Naka-on = OFF ang RollCutscenes setting ng game.|Aktif = pengaturan RollCutscenes game menjadi OFF.|Bật = cài đặt RollCutscenes của game là OFF.|เปิด = ตั้งค่า RollCutscenes ของเกมเป็น OFF|Activado = RollCutscenes del juego está en OFF.|Ativado = RollCutscenes do jogo fica OFF.|Activé = le réglage RollCutscenes du jeu est sur OFF.|Aktiviert = die Spieloption RollCutscenes ist AUS.|Включено = настройка RollCutscenes в игре выключена.
Seconds between base-money collection scans.|Segundo sa pagitan ng pag-scan ng pera sa base.|Detik antar pemindaian uang base.|Số giây giữa các lần kiểm tra tiền Base.|วินาทีระหว่างการตรวจเก็บเงินฐาน|Segundos entre comprobaciones del dinero de la base.|Segundos entre verificações do dinheiro da base.|Secondes entre les vérifications de l’argent de la base.|Sekunden zwischen Basisgeld-Prüfungen.|Секунды между проверками денег на базе.
Scans Backpack inventory only; Base-assigned units are ignored.|Backpack inventory lang ang sine-scan; hindi gagalawin ang units na nasa Base.|Hanya memindai Backpack; unit yang dipasang di Base diabaikan.|Chỉ quét Backpack; Unit đang gắn ở Base sẽ bị bỏ qua.|สแกนเฉพาะ Backpack และข้ามยูนิตที่อยู่ใน Base|Solo revisa el Backpack; ignora las unidades asignadas a la Base.|Verifica apenas o Backpack; ignora unidades colocadas na Base.|Analyse uniquement le Backpack ; ignore les unités assignées à la Base.|Prüft nur das Backpack; Einheiten in der Basis werden ignoriert.|Проверяет только Backpack; юниты на базе игнорируются.
Exact game rarity from UnitConfig.getRarity. Empty = ignore rarity.|Eksaktong rarity mula sa UnitConfig.getRarity. Walang pili = huwag i-filter ang rarity.|Rarity asli dari UnitConfig.getRarity. Kosong = abaikan rarity.|Độ hiếm chính xác từ UnitConfig.getRarity. Để trống = bỏ qua độ hiếm.|ใช้ rarity จาก UnitConfig.getRarity โดยตรง เว้นว่าง = ไม่กรอง rarity|Rareza exacta de UnitConfig.getRarity. Vacío = ignorar rareza.|Raridade exata de UnitConfig.getRarity. Vazio = ignorar raridade.|Rareté exacte via UnitConfig.getRarity. Vide = ignorer la rareté.|Exakte Seltenheit aus UnitConfig.getRarity. Leer = Seltenheit ignorieren.|Точная редкость из UnitConfig.getRarity. Пусто = не учитывать редкость.
Optional: Normal, Huge and/or Titanic. Empty = ignore size. If Rarity and Size are both selected, both must match.|Opsyonal: Normal, Huge at/o Titanic. Walang pili = huwag i-filter ang size. Kapag may Rarity at Size, parehong kailangang tumugma.|Opsional: Normal, Huge dan/atau Titanic. Kosong = abaikan ukuran. Jika Rarity dan Size dipilih, keduanya harus cocok.|Tùy chọn: Normal, Huge và/hoặc Titanic. Để trống = bỏ qua kích cỡ. Nếu chọn cả Rarity và Size thì phải khớp cả hai.|เลือกได้: Normal, Huge และ/หรือ Titanic เว้นว่าง = ไม่กรองขนาด ถ้าเลือกทั้ง Rarity และ Size ต้องตรงทั้งคู่|Opcional: Normal, Huge y/o Titanic. Vacío = ignorar tamaño. Si eliges Rarity y Size, ambos deben coincidir.|Opcional: Normal, Huge e/ou Titanic. Vazio = ignorar tamanho. Se Rarity e Size forem escolhidos, ambos devem corresponder.|Optionnel : Normal, Huge et/ou Titanic. Vide = ignorer la taille. Si Rarity et Size sont sélectionnés, les deux doivent correspondre.|Optional: Normal, Huge und/oder Titanic. Leer = Größe ignorieren. Wenn Rarity und Size gewählt sind, müssen beide passen.|Необязательно: Normal, Huge и/или Titanic. Пусто = не учитывать размер. Если выбраны Rarity и Size, должны совпасть оба.
OFF = keep locked units • ON = include locked units.|OFF = panatilihin ang locked units • ON = isama ang locked units.|OFF = simpan unit terkunci • ON = sertakan unit terkunci.|OFF = giữ Unit đã khóa • ON = gồm cả Unit đã khóa.|OFF = เก็บยูนิตที่ล็อกไว้ • ON = รวมยูนิตที่ล็อก|OFF = conservar unidades bloqueadas • ON = incluir unidades bloqueadas.|OFF = manter unidades bloqueadas • ON = incluir unidades bloqueadas.|OFF = garder les unités verrouillées • ON = inclure les unités verrouillées.|AUS = gesperrte Einheiten behalten • AN = gesperrte Einheiten einbeziehen.|ВЫКЛ = сохранить заблокированные юниты • ВКЛ = включить их.
Maximum unit income allowed to sell. 0 = no cap.|Pinakamataas na income ng unit na puwedeng ibenta. 0 = walang limit.|Pendapatan unit maksimum yang boleh dijual. 0 = tanpa batas.|Thu nhập Unit tối đa được phép bán. 0 = không giới hạn.|รายได้สูงสุดของยูนิตที่อนุญาตให้ขาย 0 = ไม่จำกัด|Ingreso máximo de unidad permitido para vender. 0 = sin límite.|Renda máxima da unidade permitida para vender. 0 = sem limite.|Revenu maximal d’une unité autorisée à la vente. 0 = sans limite.|Maximales Einheiten-Einkommen für Verkauf. 0 = kein Limit.|Максимальный доход юнита для продажи. 0 = без лимита.
Permanent upgrades, unit upgrades and rebirth.|Permanent upgrades, unit upgrades at rebirth.|Upgrade permanen, upgrade unit, dan rebirth.|Nâng cấp vĩnh viễn, nâng cấp Unit và rebirth.|อัปเกรดถาวร อัปเกรดยูนิต และ rebirth|Mejoras permanentes, mejoras de unidades y rebirth.|Upgrades permanentes, upgrades de unidades e rebirth.|Améliorations permanentes, améliorations d’unités et rebirth.|Permanente Upgrades, Einheiten-Upgrades und Rebirth.|Постоянные улучшения, улучшения юнитов и rebirth.
Buys currently available/affordable upgrade-tree nodes using the validated BuyUpgrade signal.|Bumibili ng available at kayang upgrade-tree nodes gamit ang validated BuyUpgrade signal.|Membeli node upgrade-tree yang tersedia dan terjangkau dengan sinyal BuyUpgrade tervalidasi.|Mua các node upgrade-tree đang có và đủ tiền bằng tín hiệu BuyUpgrade đã xác thực.|ซื้อ node upgrade-tree ที่พร้อมและจ่ายไหวด้วยสัญญาณ BuyUpgrade ที่ตรวจสอบแล้ว|Compra nodos disponibles y asequibles del árbol de mejoras usando la señal BuyUpgrade validada.|Compra nós disponíveis e acessíveis da árvore de upgrades usando o sinal BuyUpgrade validado.|Achète les nœuds disponibles et abordables de l’arbre d’amélioration via le signal BuyUpgrade validé.|Kauft verfügbare und bezahlbare Upgrade-Baum-Knoten über das validierte BuyUpgrade-Signal.|Покупает доступные и доступные по цене узлы дерева улучшений через проверенный сигнал BuyUpgrade.
Supports 10m, 10b, 10t, 10qi, etc.|Sinusuportahan ang 10m, 10b, 10t, 10qi, atbp.|Mendukung 10m, 10b, 10t, 10qi, dll.|Hỗ trợ 10m, 10b, 10t, 10qi, v.v.|รองรับ 10m, 10b, 10t, 10qi ฯลฯ|Admite 10m, 10b, 10t, 10qi, etc.|Aceita 10m, 10b, 10t, 10qi etc.|Prend en charge 10m, 10b, 10t, 10qi, etc.|Unterstützt 10m, 10b, 10t, 10qi usw.|Поддерживает 10m, 10b, 10t, 10qi и т. д.
Automatically attempts every occupied base slot; no manual slot selection.|Awtomatikong sinusubukan ang bawat occupied base slot; walang manual slot selection.|Otomatis mencoba setiap slot base yang terisi; tanpa memilih slot manual.|Tự động thử mọi slot Base đang có Unit; không cần chọn slot thủ công.|ลองทุกสล็อตฐานที่มียูนิตอัตโนมัติ ไม่ต้องเลือกสล็อตเอง|Intenta automáticamente cada ranura ocupada de la base; sin selección manual.|Tenta automaticamente cada slot ocupado da base; sem seleção manual.|Essaie automatiquement chaque emplacement de base occupé ; aucune sélection manuelle.|Versucht automatisch jeden belegten Basisplatz; keine manuelle Auswahl.|Автоматически обрабатывает каждый занятый слот базы; ручной выбор не нужен.
0 = unlimited.|0 = walang limit.|0 = tanpa batas.|0 = không giới hạn.|0 = ไม่จำกัด|0 = ilimitado.|0 = ilimitado.|0 = illimité.|0 = unbegrenzt.|0 = без ограничений.
Best units and controlled fusing.|Pinakamahusay na units at kontroladong fusing.|Unit terbaik dan fusing terkontrol.|Unit tốt nhất và fusing có kiểm soát.|ยูนิตที่ดีที่สุดและการ fuse แบบควบคุม|Mejores unidades y fusión controlada.|Melhores unidades e fusão controlada.|Meilleures unités et fusion contrôlée.|Beste Einheiten und kontrolliertes Fusionieren.|Лучшие юниты и контролируемое слияние.
Choose exactly which owned unit types may be consumed.|Piliin nang eksakto kung aling owned unit types ang puwedeng gamitin sa fuse.|Pilih tepat jenis unit milikmu yang boleh dikonsumsi.|Chọn chính xác loại Unit đã sở hữu có thể bị dùng.|เลือกประเภทยูนิตที่เป็นเจ้าของซึ่งอนุญาตให้ใช้ได้อย่างชัดเจน|Elige exactamente qué tipos de unidades propias pueden consumirse.|Escolha exatamente quais tipos de unidades próprias podem ser consumidos.|Choisissez exactement quels types d’unités possédées peuvent être consommés.|Wähle genau, welche eigenen Einheitentypen verbraucht werden dürfen.|Выберите, какие типы ваших юнитов можно расходовать.
Optional. 0 = no cost cap. Supports compact values such as 10k, 10m or 1b.|Opsyonal. 0 = walang cost cap. Suportado ang 10k, 10m o 1b.|Opsional. 0 = tanpa batas biaya. Mendukung 10k, 10m, 1b.|Tùy chọn. 0 = không giới hạn chi phí. Hỗ trợ 10k, 10m hoặc 1b.|เลือกได้ 0 = ไม่จำกัดค่าใช้จ่าย รองรับ 10k, 10m หรือ 1b|Opcional. 0 = sin límite de coste. Admite 10k, 10m o 1b.|Opcional. 0 = sem limite de custo. Aceita 10k, 10m ou 1b.|Optionnel. 0 = aucun plafond de coût. Accepte 10k, 10m ou 1b.|Optional. 0 = kein Kostenlimit. Unterstützt 10k, 10m oder 1b.|Необязательно. 0 = без лимита стоимости. Поддерживает 10k, 10m или 1b.
